1734411814.995035 client started (31375): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1734411814.995076 on Linux 6.9.3-76060903-generic #202405300957~1732141768~22.04~f2697e1 SMP PREEMPT_DYNAMIC Wed N
1734411814.995908 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995911 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995913 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995916 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995919 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995921 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995924 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995927 sending message 112 to peer 0x5e553a568670 (8 bytes)
1734411814.995930 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995933 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995941 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995944 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995947 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995950 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995953 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995955 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995958 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995961 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995964 sending message 112 to peer 0x5e553a568670 (8 bytes)
1734411814.995967 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995969 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995972 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995975 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995978 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995985 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995988 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995991 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995993 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995996 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995999 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996001 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996004 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996007 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996010 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996012 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996015 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996018 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996020 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996023 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996026 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996029 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996031 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996034 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996037 sending message 112 to peer 0x5e553a568670 (12 bytes)
